Value,Percentile,TotalCount,1/(1-Percentile)
42.000,0.000000,2,1.00
91.000,0.100000,1987851,1.11
97.000,0.200000,4151768,1.25
102.000,0.300000,6005528,1.43
108.000,0.400000,7878569,1.67
116.000,0.500000,9945173,2.00
121.000,0.550000,10845710,2.22
130.000,0.600000,11872926,2.50
140.000,0.650000,12771013,2.86
156.000,0.700000,13786736,3.33
190.000,0.750000,14741743,4.00
212.000,0.775000,15252242,4.44
226.000,0.800000,15739228,5.00
236.000,0.825000,16231944,5.71
245.000,0.850000,16737641,6.67
253.000,0.875000,17228637,8.00
257.000,0.887500,17472632,8.89
261.000,0.900000,17708968,10.00
265.000,0.912500,17931719,11.43
270.000,0.925000,18197643,13.33
276.000,0.937500,18452719,16.00
279.000,0.943750,18545293,17.78
283.000,0.950000,18665363,20.00
288.000,0.956250,18786408,22.86
298.000,0.962500,18912594,26.67
316.000,0.968750,19031767,32.00
326.000,0.971875,19093955,35.56
337.000,0.975000,19156790,40.00
350.000,0.978125,19216658,45.71
394.000,0.981250,19277094,53.33
508.000,0.984375,19338265,64.00
571.000,0.985938,19368995,71.11
771.000,0.987500,19399350,80.00
1126.000,0.989062,19430255,91.43
1185.000,0.990625,19460751,106.67
1288.000,0.992188,19491512,128.00
1482.000,0.992969,19506867,142.22
1564.000,0.993750,19522124,160.00
1697.000,0.994531,19537479,182.86
2291.000,0.995313,19552882,213.33
4135.000,0.996094,19568174,256.00
4263.000,0.996484,19576080,284.44
4335.000,0.996875,19583647,320.00
4399.000,0.997266,19591406,365.71
4459.000,0.997656,19599143,426.67
4519.000,0.998047,19606608,512.00
4555.000,0.998242,19610712,568.89
4591.000,0.998437,19614495,640.00
4627.000,0.998633,19618087,731.43
4671.000,0.998828,19622105,853.33
4719.000,0.999023,19625777,1024.00
4747.000,0.999121,19627674,1137.78
4779.000,0.999219,19629639,1280.00
4815.000,0.999316,19631569,1462.86
4855.000,0.999414,19633433,1706.67
4907.000,0.999512,19635396,2048.00
4935.000,0.999561,19636330,2275.56
4971.000,0.999609,19637315,2560.00
5011.000,0.999658,19638238,2925.71
5063.000,0.999707,19639177,3413.33
5135.000,0.999756,19640118,4096.00
5187.000,0.999780,19640577,4551.11
5267.000,0.999805,19641062,5120.00
5415.000,0.999829,19641540,5851.43
5719.000,0.999854,19642024,6826.67
5831.000,0.999878,19642498,8192.00
5963.000,0.999890,19642738,9102.22
6195.000,0.999902,19642978,10240.00
6247.000,0.999915,19643229,11702.86
6287.000,0.999927,19643453,13653.33
6327.000,0.999939,19643694,16384.00
6347.000,0.999945,19643814,18204.44
6371.000,0.999951,19643933,20480.00
6399.000,0.999957,19644052,23405.71
6435.000,0.999963,19644172,27306.67
6499.000,0.999969,19644296,32768.00
6539.000,0.999973,19644359,36408.89
6603.000,0.999976,19644414,40960.00
6907.000,0.999979,19644471,46811.43
9999.000,0.999982,19644532,54613.33
10271.000,0.999985,19644591,65536.00
10423.000,0.999986,19644621,72817.78
10519.000,0.999988,19644655,81920.00
10599.000,0.999989,19644682,93622.86
10663.000,0.999991,19644711,109226.67
10751.000,0.999992,19644741,131072.00
10791.000,0.999993,19644757,145635.56
10863.000,0.999994,19644773,163840.00
10927.000,0.999995,19644787,187245.71
10983.000,0.999995,19644802,218453.33
11079.000,0.999996,19644816,262144.00
11135.000,0.999997,19644823,291271.11
11191.000,0.999997,19644831,327680.00
11239.000,0.999997,19644838,374491.43
11303.000,0.999998,19644847,436906.67
11455.000,0.999998,19644853,524288.00
11495.000,0.999998,19644858,582542.22
11607.000,0.999998,19644861,655360.00
12007.000,0.999999,19644864,748982.86
12303.000,0.999999,19644868,873813.33
13111.000,0.999999,19644872,1048576.00
14391.000,0.999999,19644874,1165084.44
14535.000,0.999999,19644876,1310720.00
14599.000,0.999999,19644877,1497965.71
15079.000,0.999999,19644879,1747626.67
16447.000,1.000000,19644881,2097152.00
16735.000,1.000000,19644882,2330168.89
18047.000,1.000000,19644883,2621440.00
20719.000,1.000000,19644884,2995931.43
32271.000,1.000000,19644885,3495253.33
33279.000,1.000000,19644886,4194304.00
33279.000,1.000000,19644886,4660337.78
37439.000,1.000000,19644887,5242880.00
37439.000,1.000000,19644887,5991862.86
46943.000,1.000000,19644888,6990506.67
46943.000,1.000000,19644888,8388608.00
46943.000,1.000000,19644888,9320675.55
47583.000,1.000000,19644889,10485760.00
47583.000,1.000000,19644889,11983725.71
47583.000,1.000000,19644889,13981013.34
47583.000,1.000000,19644889,16777216.00
47583.000,1.000000,19644889,18641351.10
390399.000,1.000000,19644890,20971519.98
390399.000,1.000000,19644890,inf
